Best Known Solution Costs from https://galgos.inf.puc-rio.br/cvrplib/en/instances
(Matched to files in parMDS-main/inputs)
===========================================================================

Instance              Best Known Cost
--------------------------------------------
Antwerp1              477277.00
Antwerp2              291350.00
Brussels1             501719.00
Brussels2             345468.00
CMT4                  1028.42
CMT5                  1291.29
E-n101-k14            1067.00
E-n101-k8             815.00
E-n76-k8              735.00
F-n135-k7             1162.00
Flanders1             7240118.00
Flanders2             4373244.00
Ghent1                469531.00
Ghent2                257748.00
Golden_10             735.43
Golden_11             911.98
Golden_12             1100.67
Golden_13             857.19
Golden_14             1080.55
Golden_15             1337.27
Golden_16             1611.28
Golden_17             707.76
Golden_18             995.13
Golden_19             1365.60
Golden_20             1817.59
Golden_9              579.70
Leuven1               192848.00
Leuven2               111391.00
P-n101-k4             681.00
tai385                24366.41
X-n1001-k43           72355.00
X-n101-k25            27591.00
X-n106-k14            26362.00
X-n110-k13            14971.00
X-n115-k10            12747.00
X-n120-k6             13332.00
X-n125-k30            55539.00
X-n129-k18            28940.00
X-n134-k13            10916.00
X-n139-k10            13590.00
X-n143-k7             15700.00
X-n148-k46            43448.00
X-n153-k22            21220.00
X-n157-k13            16876.00
X-n162-k11            14138.00
X-n167-k10            20557.00
X-n172-k51            45607.00
X-n176-k26            47812.00
X-n181-k23            25569.00
X-n186-k15            24145.00
X-n190-k8             16980.00
X-n195-k51            44225.00
X-n200-k36            58578.00
X-n204-k19            19565.00
X-n209-k16            30656.00
X-n214-k11            10856.00
X-n219-k73            117595.00
X-n223-k34            40437.00
X-n228-k23            25742.00
X-n233-k16            19230.00
X-n237-k14            27042.00
X-n242-k48            82751.00
X-n247-k50            37274.00
X-n251-k28            38684.00
X-n256-k16            18839.00
X-n261-k13            26558.00
X-n266-k58            75478.00
X-n270-k35            35291.00
X-n275-k28            21245.00
X-n280-k17            33503.00
X-n284-k15            20215.00
X-n289-k60            95151.00
X-n294-k50            47161.00
X-n298-k31            34231.00
X-n303-k21            21736.00
X-n308-k13            25859.00
X-n313-k71            94043.00
X-n317-k53            78355.00
X-n322-k28            29834.00
X-n327-k20            27532.00
X-n331-k15            31102.00
X-n336-k84            139111.00
X-n344-k43            42050.00
X-n351-k40            25896.00
X-n359-k29            51505.00
X-n367-k17            22814.00
X-n376-k94            147713.00
X-n384-k52            65928.00
X-n393-k38            38260.00
X-n401-k29            66154.00
X-n411-k19            19712.00
X-n420-k130           107798.00
X-n429-k61            65449.00
X-n439-k37            36391.00
X-n449-k29            55233.00
X-n459-k26            24139.00
X-n469-k138           221824.00
X-n480-k70            89449.00
X-n491-k59            66483.00
X-n502-k39            69226.00
X-n513-k21            24201.00
X-n524-k153           154593.00
X-n536-k96            94846.00
X-n548-k50            86700.00
X-n561-k42            42717.00
X-n573-k30            50673.00
X-n586-k159           190316.00
X-n599-k92            108451.00
X-n613-k62            59535.00
X-n627-k43            62164.00
X-n641-k35            63682.00
X-n655-k131           106780.00
X-n670-k130           146332.00
X-n685-k75            68205.00
X-n701-k44            81923.00
X-n716-k35            43373.00
X-n733-k159           136187.00
X-n749-k98            77269.00
X-n766-k71            114417.00
X-n783-k48            72386.00
X-n801-k40            73305.00
X-n819-k171           158121.00
X-n837-k142           193737.00
X-n856-k95            88965.00
X-n876-k59            99299.00
X-n895-k37            53860.00
X-n916-k207           329179.00
X-n936-k151           132715.00
X-n957-k87            85465.00
X-n979-k58            118976.00

===========================================================================
Total instances matched: 130
Source: https://galgos.inf.puc-rio.br/cvrplib/en/instances
